cik,fy,bankrupt_2y,assets,liabilities,current_assets,current_liabilities,cash,inventory,receivables,equity,retained_earnings,revenue,cogs,gross_profit,operating_income,net_income,rd_expense,sga_expense,interest_expense,depreciation,short_debt,long_debt,total_debt,debt,leverage_liabilities_assets,leverage_debt_assets,debt_equity,roa,asset_turnover,current_ratio,asset_growth,revenue_growth,lag_assets,lag_revenue,lag_roa,lag_leverage_debt_assets
1083301,2011,0,,,8404194,838915,1291383,2234834,1883428,12192947,9732435,,,,1534239,1113920,512259,5171147,,,,,,,,,0,,,10.01793268686339,,,,,,
1083522,2011,0,11463000,,,,5448000,2386000,1966000,4405000,-53221000,,,4042000,-7226000,,,,,230000,,,,,,0,0,,,,,,,,,
1088825,2011,0,,117062000,,81959000,71221000,13228000,24665000,104000,-779225000,238466000,127490000,110976000,,0,110367000,,,9160000,,,,,,,0,,,NaN,NaN,-0.046845147210475405,310812000,250186000,0.33496454448348195,0
1091801,2011,0,,,109824000,61569000,25384000,5309000,59250000,-775000,-188442000,230813000,,,-8663000,-9596000,,,,3978000,,,,,,,0,,,1.7837548116747064,,,,,,
1091862,2011,0,1202000000,1942000000,1321000000,489000000,180000000,528000000,458000000,4353000000,-2949000000,703000000,,,38000000,120000000,43000000,289000000,63000000,175000000,3000000,,,3000000,1.6156405990016638,0.0024958402662229617,0.0006891798759476223,0.09983361064891846,0.5848585690515807,2.7014314928425356,,,,,,
1092570,2011,0,124420,1929616,,1906132,10987,,,8455329,-10216110,287773,,,,65330,,1381572,81675,62317,,,,,15.508889246101912,0,0,0.5250763542838772,2.3129159299148045,NaN,,,,,,
1094831,2011,0,1405185000,904218000,,,364104000,,,236917000,-23616000,1162322000,,,,21162000,,,24606000,49281000,13600000,,,13600000,0.6434868006703743,0.009678440917032276,0.05740406977971188,0.015059938726929194,0.8271665296740287,,,,,,,
1099160,2011,0,254988907,,32239875,15277762,5892777,,18376987,-2171794,-28451072,97698634,,,22882504,,,,10006091,2652841,,,,,,0,0,,0.38314856575309764,2.1102485429475863,,,,,,
1101246,2011,0,36686632,,30350741,24871512,2599456,5235074,14356352,4337943,12559830,32241333,,8556010,3970420,5739063,,,1251045,,12938582,,,12938582,,0.3526783815968716,2.982653760088595,0.1564347198728954,0.8788305505940147,1.2203014034691577,,,,,,
1101433,2011,0,,,1529549,1662117,477222,,654449,8529965,-13640773,,,,,-1945952,,,,,,,,,,,0,,,0.9202414751789435,,,,,,
