cik,fy,bankrupt_2y,assets,liabilities,current_assets,current_liabilities,cash,inventory,receivables,equity,retained_earnings,revenue,cogs,gross_profit,operating_income,net_income,rd_expense,sga_expense,interest_expense,depreciation,short_debt,long_debt,total_debt,debt,leverage_liabilities_assets,leverage_debt_assets,debt_equity,roa,asset_turnover,current_ratio,asset_growth,revenue_growth,lag_assets,lag_revenue,lag_roa,lag_leverage_debt_assets
1487252,2013,0,632329,934260,720118,909095,106908,0,52748,-487796,-591606,2549372,1573541,975831,,523371,,421094,-7594,11372,145648,,,145648,1.477490357076775,0.23033579038759885,-0.2985838342257829,0.8276878017614249,4.031717665961865,0.7921262354319406,6322.29,,100,0,-27.98,0
1488613,2013,0,66039000,,58386000,15759000,124293000,1763000,2195000,-89763000,-46819000,2057000,258000,,-15771000,-22393000,9023000,,408000,2894000,,,,,,0,0,-0.33908750889625827,0.031148260876148942,3.7049305158956787,,,,,,
1490636,2013,0,191126000,,122926000,79122000,40824000,78006000,,41805000,-12009000,551476000,,261924000,40895000,8013000,,201084000,,6978000,,0,,,,0,0,0.04192522210478951,2.885405439343679,1.5536260458532394,0.1753426847791997,-0.092507388611336,162613000,607692000,0.15480312152164957,0.0011622686993044836
1498372,2013,0,2089,100685,,90685,2089,,,6428,,0,,,,-88364,,669,-1269,,,,,,48.19770224988032,0,0,-42.29966491144088,0,NaN,-0.6593836621555519,,6133,0,-6.163704549160281,0
1506742,2013,0,,,540,53435,,,,0,,,,,11000,-9627,,,,,,,,,,,,,,0.01010573594086273,,,,,,
1508332,2013,0,526,72538,1593,72538,465,,,51991,,0,,0,,-25779,,,3571,,,,,,137.90494296577947,0,0,-49.00950570342205,0,0.021960903250709974,0.13118279569892474,,465,0,-64.78494623655914,0
1512922,2013,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,-1,,71952,0,-1.4263675783855905,0
1514418,2013,0,57632000,86070000,43914000,49227000,1602000,12339000,27393000,-5948000,-28439000,284244000,246724000,,542000,-1268000,,,1224000,1964000,,36810000,,36810000,1.493441143808995,0.6387076624097724,-6.1886348352387355,-0.02200166574125486,4.9320516379789,0.8920714242184167,-1.2144390657731705,1.9058752568571926,-268757000,97817000,0,-0.009302083294574654
1518548,2013,0,0,30387,,30387,0,,,-30387,-338243,0,,,,-19331,,,0,,,,,,,,0,,,NaN,-1,,7583,,-0.2650665963339048,0
1522690,2013,0,197948035,175303946,,,1878349,,,948569,-8243622,17525798,,,,-1012899,,,10878627,,,29744000,,29744000,0.885605891465404,0.1502616583185582,31.356706786749303,-0.0051169944677652394,0.08853736790062099,,0,0,197948035,17525798,-0.0051169944677652394,0.19484911785055103
1524471,2013,0,5212000000,4196000000,1740000000,1044000000,469000000,,,1652000000,274000000,5522000000,,,535000000,326000000,54000000,566000000,,83000000,,649000000,649000000,649000000,0.805065234075211,0.12452033768227168,0.39285714285714285,0.06254796623177283,1.0594781273983116,1.6666666666666667,0.02216120808001569,-0.0626379222542862,5099000000,5891000000,,0.12727985879584233
1526520,2013,0,1299194000,608534000,632494000,195640000,351148000,,97034000,-325000,196438000,762966000,,,272757000,194069000,,,11381000,,40000000,300000000,,340000000,0.4683934808812233,0.2617007159823706,-1046.1538461538462,0.1493764595587726,0.5872610249123688,3.2329482723369454,0.5542717547608167,0.574310563620044,835886000,484635000,0.1660226394508342,0.5263875695968111
1526796,2013,0,201438000,245477000,41710000,87495000,972000,9836000,,101607000,13648000,465056000,,,-19900000,,,,,16970000,,,,,1.2186230999116354,0,0,,2.308680586582472,0.4767129550260015,0.1327241544127984,0.32371266654711994,177835000,351327000,,0
1527355,2013,0,180754,276957,640705,276957,213156,390127,6735,72367,,,,442363,-3896585,-3912278,18710,,15693,,0,,,,1.5322316518583268,0,0,-21.64421257620855,,2.313373556183812,2.6785721554022426,,49137,,-0.48942751897755254,0
1530746,2013,0,166735,1316826,185,1316826,,,,-1313820,,,0,0,,0,,281548,60540,,796900,,,796900,7.897717935646385,4.7794404294239365,-0.6065518868642584,0,,0.00014048932812687478,-0.16771907055681734,,200335,,-1.8564304789477626,1.4827663663363866
1531477,2013,0,2366,35099,526,,0,,,0,,0,0,0,-109211,-86028,,,,,,,,,14.834742180896027,0,,-36.36010143702451,0,,0,-1,2366,100,-28.815300084530854,0
1533454,2013,0,1136800000,716700000,599500000,351500000,85800000,173500000,,483800000,,4979200000,,,238700000,28300000,,88300000,42200000,29500000,,275000000,,275000000,0.6304539057002111,0.24190710767065446,0.5684167011161637,0.024894440534834625,4.380014074595356,1.705547652916074,0.1381657989587505,0.558337506259389,998800000,3195200000,0.06107328794553464,0.29034841810172207
1537834,2013,0,21960034,7959361,1064566,5802513,286013,,387803,14000673,-31179408,952566,,,-7208832,-7993196,,,,,,,,,0.36244757180248444,0,0,-0.3639883253368369,0.04337725524468678,0.18346637051911818,0,0,21960034,952566,-0.3639883253368369,0.020983574069147616
1545078,2013,0,,,,,21500000,,,,,29952000,,,,,,,,,,,,,,,,,,,,,,,,
1548981,2013,0,349427000,3196000,,,24294000,,,340896000,-6139000,,,,-63371000,-25351000,,,5113000,22193000,,284000000,,284000000,0.009146402539013871,0.8127591743053628,0.8330986576551206,-0.07255020361906779,,,,,,,,
1555074,2013,0,1405104000,934000,,,140000000,,0,7540000,-5339000,71610000,,,,-5293000,,,4568000,25000,,,,,0.0006647194798392147,0,0,-0.003766980949452852,0.05096419909131281,,,,,,,
1562463,2013,0,636367000,711434000,,,53690000,,,90908000,21902000,,,,,4593000,,,8088000,,,31793000,,31793000,1.1179618050590303,0.04996016449627338,0.3497271967263607,0.007217533278752669,,,,,,,,
1568162,2013,0,1347375000,35561000,,,101176000,,,1311814000,-64901000,24289000,,,-22816000,-20797000,,,485000,14947000,,,,,0.026392800816402263,0,0,-0.015435198070321923,0.018026904165507004,,,,,,,
1569134,2013,0,1035814000,,52347000,71854000,1982000,5148000,17848000,,,-1920000,150120000,,40710000,77507000,,,,29549000,,135000000,,135000000,,0.13033227973362013,,0.07482714078010144,-0.0018536146451003752,0.7285189411862945,,,,,,
1572840,2013,0,5000,19611,5000,19611,9404,,,14000,,0,,,,-51651,,,,,,,,,3.9222,0,0,-10.3302,0,0.254958951608791,,,,,,
1575048,2013,0,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584423,2013,0,2424434000,1934191000,322003000,15878000,3680000,29260000,2593000,490243000,-30102000,-1363000,,,-42993000,-124513000,,,102069000,1655000,,925000000,,925000000,0.7977907420866066,0.3815323494060882,1.88681939364764,-0.05135755396929757,-0.0005621930726924305,20.279821136163246,,,,,,
1800,2013,0,60277000000,,19247000000,9507000000,3475000000,2693000000,3986000000,25171000000,21979000000,859000000,,,4415000000,2576000000,,6936000000,347000000,,3164000000,947000000,,4111000000,,0.06820180168223369,0.16332287155853958,0.042736035303681336,0.014250875126499328,2.024508257073735,-0.00490066241783666,-0.9755734974551651,60573852000,35166721000,,0.3123261172163857
216877,2013,0,16813851,5576209,2426013,1659461,1801693,157795,20547,11237642,4959532,6188570,,,1391317,471466,,,212300,343930,,3225659,,3225659,0.3316437739337645,0.19184534227167827,0.2870405553051076,0.028040334126905254,0.36806380644148684,1.4619283008157469,0.03749746778401128,0,16206161,6188570,0.030812849508282683,0.24059744932806726
22356,2013,0,22159589000,19988015000,,,779825000,,,2210642000,449836000,,,,,260961000,,,30913000,,856081000,455310000,,1311391000,0.9020029658492312,0.059179391819947566,0.593217264486968,0.01177643682831843,,,0.0731364791957061,,20649367000,,0.010736890869342387,0.052618416826046045
24741,2013,0,27848000000,7842000000,9695000000,1956000000,4598000000,1051000000,1302000000,21486000000,6304000000,3939000000,4314000000,3576000000,1712000000,2817000000,561000000,1028000000,,,,249000000,,249000000,0.28160011490950876,0.008941396150531456,0.01158894163641441,0.10115627693191612,0.1414464234415398,4.956543967280163,0.07800100646459954,-0.18883855024711696,25833000000,4856000000,0.1377308094297991,0.09255603298107072
28412,2013,0,65069000000,58127000000,,,6451000000,,,7153000000,5931000000,,,,,541000000,,,156000000,133000000,110000000,3543000000,,3653000000,0.8933132520862469,0.056140404801057336,0.5106948133650216,0.008314251025834114,,,0.0665650406504065,,61008000000,,0.004540388145816942,0.08110411749278783
28823,2013,0,2592987000,,1555350000,857344000,230709000,412996000,,791474000,722743000,43204000,2262073000,640356000,-118260000,73603000,92315000,596694000,30330000,79855000,,,,,,0,0,0.02838541033950421,0.016661865254241535,1.8141492796357122,0.02904884930887098,-0.9847000116509956,2519790000,2823793000,-0.00803717770131638,0
29834,2013,0,158810000,67117000,11528000,9824000,2799000,,5111000,27311000,-16136000,35319000,,,-18426000,-13073000,,,1307000,20942000,,,,,0.4226245198665071,0,0,-0.0823184937976198,0.22239783388955356,1.1734527687296417,-0.06907628638756345,-0.3576494980357922,170594000,54984000,0.03225787542352017,0
29952,2013,0,23333023,,315430,353494,20932,213,,11307186,-3325983,1188119,66535,1121584,502400,615507,,,140,433210,,,,,,0,0,0.02637922227222765,0.05092006295112297,0.8923206617368329,0,0,23333023,1188119,0.064110081235509,0
314197,2013,0,0,,0,290492,0,,,15,,0,,,,-64046,,,10235,,,,,,,,0,,,0,,,0,0,,
317540,2013,0,1283474000,1084036000,241312000,216312000,11761000,65924000,103524000,191320000,170439000,1641331000,,629243000,73647000,27675000,,565623000,35338000,,,378566000,,378566000,0.8446107985046833,0.29495416346571884,1.9787058331591052,0.021562571583062844,1.2788190489250268,1.1155738008062428,-0.0579488779198855,0.08367363242680076,1362425000,1514599000,0.02646531001706516,0.38403508450006424
352825,2013,0,379894000,,276392000,91969000,74800000,107108000,58409000,255747000,270311000,,,98410000,16323000,22895000,1899000,64807000,622000,9182000,,,,,,0,0,0.06026681126840645,,3.0052735160760693,0.003942896707734103,,378402000,,0.05415404781158662,0
4969,2013,0,29926000000,2200000000,,,86000000,,14458000000,2687000000,3004000000,984000000,,,,397000000,,,,,18000000,21700000000,,21718000000,0.07351466951814475,0.7257234511795763,8.082620022329737,0.01326605627213794,0.032881106729933836,,-0.03901608811534633,0.004081632653061225,31141000000,980000000,0.011174978324395492,0.6999775215953244
57515,2013,0,87452000,,326058000,72671000,100890000,109704000,,-732222000,1208027000,,,267109000,165710000,106364000,,96824000,,17512000,,,,,,0,0,1.21625577459635,,4.486769137620233,-0.7589818213888062,,362844000,,0.2931397515185589,0
58822,2013,0,201990,514353,259795,,42617,148432,54707,40077,-17494188,418708,140106,,-302132,-257427,,,4753,,,,,,2.5464280409921285,0,0,-1.2744541809000445,2.0729145007178573,,0.28014348457097227,-0.24786687120752154,157787,556694,-1.175439041239139,0
59255,2013,0,141400000,,1363400000,398500000,366900000,650300000,,733600000,75400000,2025100000,,745800000,553000000,217500000,20000000,268900000,61800000,63800000,,502500000,,502500000,,3.5537482319660536,0.6849781897491821,1.5381895332390383,14.321782178217822,3.4213299874529484,-0.9479055373392772,0.3205738506684056,2714300000,1533500000,0.01853148141325572,0.17919905684706922
59527,2013,0,1976776000,,1132816000,440267000,366193000,364890000,360662000,1342373000,1682668000,2694609000,,736737000,296680000,217013000,32834000,439775000,6704000,62051000,18676000,,,18676000,,0.009447706771025143,0.013912675538021101,0.10978128022598413,1.363133202750337,2.5730204625829325,0.10818998670245568,,1783788000,,0.07411755208578598,0.05685541106902838
6201,2013,0,23510000000,,7072000000,9011000000,168000000,,,-3945000000,-9462000000,,,,-1037000000,-1979000000,,,811000000,915000000,,6000000000,,6000000000,,0.25521054870267973,-1.520912547528517,-0.08417694598043386,,0.7848185550993231,0,,23510000000,,-0.07979583156103785,0.1402381965121225
67279,2013,0,57219771,21234928,27569453,16934830,4132953,7470697,12335124,551797,31229068,57108231,25839101,11918969,4783503,,4031537,22454090,298769,2433183,,,,,0.3711117263996041,0,0,,0.9980506737784742,1.627973413373503,0.44114030267240917,0.8101652214427448,39704511,31548629,,0.09890218771363284
69488,2013,0,428757000,,234910000,150583000,3948000,107502000,112459000,235507000,-53509000,755654000,557385000,198269000,43933000,24505000,,,4722000,34214000,,34200000,,34200000,,0.07976546155514662,0.14521861345947254,0.05715358583066865,1.762429534678151,1.5600034532450542,-0.008413603302535875,0.02445168095138676,432395000,737618000,-0.09906220007169371,0.17120919529596781
700564,2013,0,16533097000,14871447000,,,,,,2081656000,463843000,,,,,161840000,,,103168000,25911000,1258629000,,,1258629000,0.8994955391600254,0.07612784223064802,0.6046287186739788,0.00978884960270904,,,0.009931823740594977,,16370508000,,0.007839219161677817,0.041176303142211594
700923,2013,0,466348000,211658000,278400000,188893000,76454000,,173468000,296091000,134679000,,,85566000,81413000,18298000,,69818000,544000,1650000,0,,,,0.4538627805844562,0,0,0.03923679312444784,,1.473850275023426,0.1303542688720405,,412568000,,0.039077194547323106,0.024238428574198678
706688,2013,0,1827176000,676803000,,,129534000,,74157000,1139963000,1087032000,2212827000,,,187151000,173043000,,,6392000,658335000,,142704000,,142704000,0.3704093092291055,0.07810085071169937,0.12518301032577372,0.09470516250213444,1.2110639588085659,,0.21742502430284644,0.17933282809387222,1500853000,1876338000,0.07887248118236763,0.09429837565704303
712771,2013,0,1629765000,1469074000,,,37497000,,,120957000,46753000,,,,,13926000,,,12177000,983000,,146000000,,146000000,0.9014023494184744,0.08958346755513832,1.2070405185313788,0.008544790199814084,,,0.13751781553919837,,1432738000,,0.004888542078174796,0.12279495623065767
718877,2013,0,14200000000,7390000000,6241000000,2405000000,3959000000,209000000,707000000,10492000000,2686000000,4583000000,,,1328000000,1085000000,604000000,,,148000000,,0,,,0.5204225352112676,0,0,0.07640845070422535,0.32274647887323943,2.595010395010395,0.06951871657754011,0.030582415111310997,13277000000,4447000000,0.03148301574150787,0
719274,2013,0,9360000,6716000,6575000,5602000,1059000,3321000,1846000,1997000,-18258000,507000,8811000,4498000,-4539000,-4206000,3897000,4809000,,251000,,,,,0.7175213675213675,0,0,-0.4493589743589744,0.05416666666666667,1.1736879685826491,3.790174002047083,-0.6825297432686287,1954000,1597000,-2.9948822927328558,0
72741,2013,0,28302824000,,2227295000,3643690000,,,792822000,9237050000,1802714000,4465657000,,,794176000,400513000,,,250425000,16800000,,7200156000,,7200156000,,0.254397087725239,0.7794865243773715,0.014150990727992373,0.15778132245743393,0.611274559581084,0.8088262681323131,-0.08830037848852439,15647066000,4898167000,0.025187277921624413,0.2949379135999043
730708,2013,0,2173929000,2008383000,,,211405000,,,165546000,-70695000,,,,,-710000,,,8478000,,,,,,0.9238493989454117,0,0,-0.00032659760277359566,,,0.01710228668343178,,2137375000,,-0.015534475700333353,0
732026,2013,0,420000,15438000,16578000,12860000,2793000,2324000,8728000,10531000,2687000,1075000,25419000,5139000,-861000,-1019000,281000,,271000,2490000,,,,,36.75714285714286,0,0,-2.426190476190476,2.5595238095238093,1.2891135303265941,131.86934514394179,62.40312592155706,3161,16955,-217.6526415691237,0
753772,2013,0,395074,,380175,3713426,81856,265234,,23155777,-31421984,379554,239410,,-1311750,-3343694,278280,,25242,47933,,,,,,0,0,-8.463462541194815,0.9607162202524084,0.10237850437843651,0.1912952230470941,,331634,0,-5.850476730371434,0
761648,2013,0,1369903000,848153000,,,14166000,,17846000,513656000,,129988000,,,18984000,-103561000,,,41312000,41862000,,719792000,,719792000,0.6191336174897055,0.5254328226159078,1.4013113834940116,-0.07559732331413246,0.0948884702055547,,-0.09407715967127882,-0.007710041374677476,1512163000,130998000,-0.027304596131501695,0.5033954672875873
764180,2013,0,35329000000,32125000000,6315000000,8259000000,3175000000,1879000000,,4119000000,25168000000,24466000000,,9563000000,7253000000,3390000000,136000000,,1053000000,225000000,0,13992000000,,13992000000,0.9093096323133969,0.3960485719946786,3.396941005098325,0.09595516431260438,0.6925188938266014,0.764620414093716,-0.038692824685042586,0.004227722365882691,36751000000,24363000000,0.10631003238007129,0.3724796604174036
767920,2013,0,899275000,,342937000,155505000,203089000,25667000,62143000,1031315000,-482314000,654304000,211190000,443114000,53225000,89384000,227106000,118601000,,72544000,30000000,22793000,,52793000,,0.05870617997831586,0.05118998560090758,0.09939562425287037,0.7275905590614662,2.205311726311051,-0.36465450671218463,7.743639084883473,1415411000,74832000,0.06315056192159027,0.1287852079713949
794367,2013,0,20991000000,,8688000000,5726000000,1836000000,,,6249000000,5108000000,27931000000,15738000000,10667000000,2661000000,1486000000,,8482000000,447000000,1020000000,124000000,706000000,,830000000,,0.03954075556190748,0.13282125140022405,0.07079224429517413,1.3306178838549854,1.517289556409361,-0.049966055668703324,0.3105762012012012,22095000000,21312000000,0.042950893867390816,0.3325186693822132
799231,2013,0,249259000,42643000,89639000,51144000,26120000,,49971000,204315000,111789000,,,166544000,30749000,20802000,,,,2611000,,,,,0.17107907838834305,0,0,0.08345536169205525,,1.7526787110902549,0.13234178451530254,,220127000,,,0
803164,2013,0,508913000,453017000,,,20479000,,,61558000,14815000,,,,,5094000,,,1419000,,,,,,0.8901659026198977,0,0,0.010009569415597558,,,0.026212206148646743,,495914000,,0.005466673657126034,0
809933,2013,0,97512155,,68491155,44034632,10467770,,,26851,25365853,11800000,,,4783834,0,,,364305,2160062,,372744,,372744,,0.0038225388414398183,13.881941082268817,0,0.12101055504311231,1.5553929234607888,0.034418098630280794,-0.9181114524506445,94267642,144098294,0.04516509493257506,0
812701,2013,0,552990000,173573000,273206000,82196000,18161000,109517000,101918000,377117000,270511000,10721000,,,71530000,,8025000,85345000,80000,28938000,19565000,44408000,,63973000,0.3138809020054612,0.11568563626828694,0.16963700920404012,,0.019387330693140924,3.3238357097668985,0.10253348034045573,-0.977772986331247,501563000,482341000,0.06948279677727424,0.008258184913958964
814453,2013,0,6069700000,,2285600000,1604500000,183800000,684400000,1112400000,2071500000,2294900000,5579900000,3410600000,2101100000,313000000,125200000,110800000,1446100000,,158900000,210700000,1918400000,,2129100000,,0.35077516186961466,1.0278059377262854,0.020627049112806235,0.9193040842216255,1.424493611717046,-0.01480303202454187,-0.01383832314163515,6160900000,5658200000,0.047525523868266,0.37014072619260174
815917,2013,0,9583586000,,,,600936000,,,,,,,,,0,,,58745000,88118000,,5503000,,5503000,,0.0005742109477600556,,0,,,0.04637072516055999,,9158882000,,0,0.0006008375258028218
818479,2013,0,4972297000,2722854000,1143802000,796405000,80132000,438559000,,2535053000,3095721000,167621000,,1556387000,419166000,244520000,85400000,1144890000,56851000,33855000,45000000,1166178000,,1211178000,0.5476048594844596,0.2435852082045783,0.47777225959378367,0.04917646713380154,0.033710979050527355,1.436206452747032,0.04561111393830758,-0.9245295166982288,4755398000,2221014000,0.05587502875679386,0.3718132530652534
819793,2013,0,1230928000,619109000,522484000,158508000,222666000,112739000,163547000,544297000,434598000,760941000,,290554000,52091000,17517000,30200000,157688000,15227000,2104000,,300111000,,300111000,0.5029611805077145,0.24380873617303367,0.5513736066889952,0.014230726736251023,0.618184816658651,3.296262649203826,-0.03705332032640404,0.024302484765516157,1278293000,742887000,0.029442389186203788,0.292881209550549
819926,2013,0,89936284,11942626,19073397,11809870,1152607,5897555,10078623,2744720,38401734,57199221,44062636,13136585,6343706,4198580,0,3050911,305659,,,,,,0.13278985375913463,0,0,0.04668393904288952,0.6359971577211262,1.6150386922125306,0.08895999938393848,0,82589153,57199221,0.06974938948701896,0
821189,2013,0,24838797000,,3589884000,2924058000,788853000,,1656618000,10231632000,10175631000,10126115000,,,2113309000,1091123000,,,210363000,2516381000,,5905602000,,5905602000,,0.2377571667420125,0.5771906182708683,0.04392817413822417,0.40767332653026633,1.2277061535715093,0.14865563093035486,0.6600471549023131,21624233000,6099896000,0.007429350210941586,0.2316459501708107
822663,2013,0,664058000,,525491000,126147000,125650000,117347000,79932000,407211000,359459000,154300000,,328779000,78754000,39211000,,250025000,1380000,11110000,,,,,,0,0,0.05904755307518319,0.23235922163425485,4.16570350464141,0.5157507903356501,-0.6648566463944396,438105000,460400000,0.060700060487782606,0
831259,2013,0,32070000000,14129000000,10297000000,3343000000,3738000000,5018000000,927000000,17543000000,2399000000,2300000000,,,9140000000,5747000000,,415000000,,,2000000,3525000000,,3527000000,0.4405675085749922,0.10997817274711569,0.20104885139371828,0.17920174618023074,0.07171811661989398,3.0801675142087945,0.09133601034506228,,29386000000,,0.18866126727012864,0.12036343837201388
834162,2013,0,679075000,646959000,134681000,89339000,115113000,4272000,4853000,5777000,-50012000,504097000,,,65955000,,,,67993000,30458000,,556716000,,556716000,0.9527062548319405,0.8198151897802157,96.36766487796434,,0.7423289032875603,1.5075275075834742,0.05961262094867766,0.15965143536762388,640871000,434697000,,0.8565421122191518
840889,2013,1,7981783000,7643429000,,,384032000,,41626000,840154000,-747914000,,,,,-10690000,,,178722000,13228000,,7425399000,,7425399000,0.9576092208971354,0.930293269060309,8.838140388547814,-0.001339299752949936,,,0.000052497292442745376,,7981364000,,-0.03657194434435016,0.9161320045044932
844538,2013,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,2860,,-0.46853146853146854,0
858800,2013,0,509014000,480770000,,,28193000,,,45072000,23650000,,,,,3654000,,,3677000,677000,,5000000,,5000000,0.9445123316843937,0.009822912532857643,0.11093361732339369,0.007178584479012365,,,0.03482949162604039,,491882000,,0.0077925193440703255,0.04066015833065654
862692,2013,0,12330659,,9425497,9810433,2677382,,3336460,-484535,-33725902,18994614,,,1702788,27436,36168,11366417,1400572,204149,,2300000,,2300000,,0.18652693258324637,-4.746819115234193,0.0022250230097191075,1.540437863053386,0.9607625881548755,-0.36657825263433885,0.06006963841933401,19466744,17918270,-0.1076464559250381,0.14640352798598472
865436,2013,0,5294000000,1660000000,1980000000,1088000000,290000000,414000000,,3878000000,1265000000,10108000000,,4156000000,744000000,343000000,,,0,311000000,,0,,,0.31356252361163583,0,0,0.06479032867397053,1.909331318473744,1.8198529411764706,-0.000040799242040747864,-0.13598182655561736,5294216000,11698828000,0.06471439775029957,0
87802,2013,0,5772200,739000,3962800,545600,907800,1705600,815900,3055400,3061700,7134500,,2958700,507400,66100,375900,,4800,49300,,105000,,105000,0.12802744187658086,0.01819063788503517,0.03436538587418996,0.011451439659055472,1.2360105332455562,7.263196480938417,0.1514003031995532,,5013200,0,0,0
880807,2013,0,216754000,56250000,83281000,47822000,43114000,20694000,7556000,507000,-856389000,3700000,72858000,,-41429000,-136827000,12173000,37230000,1200000,10615000,,,,,0.2595107818079482,0,0,-0.6312547865321978,0.01707004253670059,1.7414788172807494,1.2599493280228544,-0.8015234416908057,95911000,18642000,-1.426603830634651,0
882291,2013,0,1695102,16425268,1479346,15648817,,,208781,-14948436,-74832557,1623769,,,-3055928,-13357232,1509000,,,21087,,,,,9.68984049337444,0,0,-7.879898672764235,0.9579181665764066,0.09453404688673911,1.0211209332605218,0.3201331052581943,838694,1230004,-9.671393857592877,0
885639,2013,0,13905000000,,4719000000,2535000000,2277000000,3748000000,,5978000000,10878000000,18804000000,,6990000000,1890000000,889000000,,4313000000,,833000000,,2792000000,,2792000000,,0.2007910823444804,0.4670458347273336,0.06393383674937073,1.352319309600863,1.8615384615384616,-0.01717557251908397,0.022456636398238267,14148000000,18391000000,0.0791631325982471,0.1513288097257563
888919,2013,0,10267807000,6725195000,,,,,,125114000,3085501000,2536904000,,,,255243000,,,,,,,,,0.6549787116177778,0,0,0.024858570091938814,0.247073596143753,,0.06986658092013173,0.10192185571183718,9597278000,2302254000,0.035957695504912957,0
891014,2013,0,1165000000,343139000,815117000,180894000,490267000,89169000,204449000,847538000,1106252000,1018181000,,233645000,126852000,80330000,20053000,89231000,3263000,47289000,5504000,75000000,,80504000,0.2945399141630901,0.06910214592274679,0.0949857115551161,0.06895278969957082,0.8739751072961374,4.506047740665804,0.04381327838007347,0.01578983073844171,1116100000,1002354000,0.05991309022489024,0.08179822596541529
893691,2013,0,1645948000,765583000,652472000,228592000,100873000,208783000,256666000,796724000,-60177000,,,185359000,5807000,-11010000,4100000,208058000,,4143000,,,,,0.46513194827540116,0,0,-0.0066891542138633785,,2.8543081122698957,,,,,,
895419,2013,0,2747498000,,1515766000,207411000,397431000,109262000,152258000,136000,687238000,89410000,862722000,541723000,168706000,86000,155889000,236581000,,108605000,,,,,,0,0,0.000031301205678766645,0.032542334880680535,7.308030914464517,0.12293018986219113,-0.8803769177355502,2446722000,747431000,0.018151633082957523,0
897077,2013,0,381665000,,336953000,78128000,63960000,108758000,151396000,310286000,255203000,227568000,518326000,135085000,50737000,32687000,7164000,92347000,1620000,676000,,,,,,0,0,0.08564316874746178,0.5962506386490771,4.31283278722097,0.028793772221368634,-0.5774415650972615,370983000,538548000,0.05692174574037085,0
897448,2013,0,310855000,286332000,219402000,25202000,260242000,21209000,3645000,-217000,-913870000,26351000,,,-116750000,-69126000,21602000,57794000,1000,180000,,87717000,,87717000,0.9211111289829663,0.28217979443792124,-404.2258064516129,-0.22237377555451898,0.08476942625983175,8.705737639869852,1.4597045395200152,,126379000,0,-1.9749246314656708,0.6737907405502497
908315,2013,0,43538800,,18934700,20513200,2233400,96700,17700,513700,35199300,55731200,,,21867700,,,20280300,213500,339600,,,,,,0,0,,1.2800352788776908,0.9230495485833512,-0.0881105523638778,0.08563747930262004,47745700,51335000,,0
910406,2013,0,1673593000,708991000,448808000,274130000,27517000,250175000,233641000,-6871000,375111000,420408000,1259823000,319837000,18671000,79225000,7516000,204163000,,24124000,,390584000,,390584000,0.4236340615669401,0.2333805172464273,-56.84529180614175,0.04733827161083967,0.25120085946822196,1.6372086236457155,0,1.1856180336050575,1673593000,192352000,0.04733827161083967,0.1371540153430374
913277,2013,0,320786000,72780000,104542000,26237000,2767000,60664000,30925000,162922000,-231334000,394000,,56352000,4866000,4892000,4690000,50493000,2889000,,,36429000,,36429000,0.22688022544624764,0.11356168910114531,0.22359779526399134,0.015250042084130853,0.001228233152319615,3.9845256698555476,0.408642804761842,,227727000,,0.027410012866282873,0.16717385290281786
916540,2013,0,1552416000,1223181000,1127502000,176804000,870857000,65133000,98131000,1062436000,607743000,32400000,1232604000,,169566000,169418000,,136135000,37163000,85371000,,250142000,,250142000,0.7879208923381362,0.16113077937872322,0.2354419466207847,0.10913183064333272,0.020870694453033207,6.377129476708672,0.095542084500681,0.16967509025270758,1417030000,27700000,0.031222345327904136,0.2117104083893778
918997,2013,0,3826,292170,0,292170,,,,-292170,,0,,,-374541,-386581,,374541,12040,,,,,,76.36434918975431,0,0,-101.0405122843701,0,0,,-1,0,5000,,
920371,2013,0,836087000,112334000,498054000,95515000,175553000,197728000,82812000,789568000,615289000,522895000,,283477000,84885000,,10700000,,793000,17707000,,,,,0.13435683128669623,0,0,,0.625407403774966,5.214406114222897,-0.0441541129678556,-0.058672840228484194,874709000,555487000,,0
927569,2013,0,4210000,216000,,,205000,,,,,2954000,,,,1157000,,,,,,,,,0.05130641330166271,0,,0.27482185273159143,0.7016627078384798,,0.04804580532735873,0.12705074399084318,4017000,2621000,0.17849141150112025,0
932628,2013,0,4517331000,3048771000,523368000,616974000,60102000,163746000,266677000,,,3166543000,,,392194000,21498000,,,,202871000,,55587000,,55587000,0.6749053810756839,0.012305274951071771,,0.004759004819438735,0.7009765279542278,0.8482820994077547,0,0.08383271449773003,4517331000,2921616000,-0.00046354805525652206,0.12175330964235298
933034,2013,0,169500000,,101291000,56973000,9200000,24312000,,-22212000,179614000,,,53866000,16343000,9375000,1300000,,34000,6809000,,,,,,0,0,0.05530973451327434,,1.777877240096186,0.14458970341958835,,148088000,,0.02310112905839771,0
934543,2013,0,40030571,25945945,4934164,2065345,3143377,,,13260612,-5869624,,,,364121,366915,,,1848050,,,25376800,,25376800,0.648153257668995,0.6339354989465427,1.9136974975212306,0.009165869754893079,,2.389026530676473,-0.023549084277488707,,40995989,,0.0019436779534700334,0.20440311855874485
